naam,invalshoeken,objectnummer,beelden ontsluiten voor publiek?,inhoudelijke registratie koepel en deelnummers,waardering,fotocontrole CP,fotocontrole,beelden klaar,naam beeld(en),vervaardiger,toestemming auteursrecht,Attributie,publicatie op cogent (via europeana),publicatie op erfgoedinzicht,opmerkingen,collectiepresentatie?
Ianthe,Italiaans postmodernisme,2002-0033_1-4,niet-publiek,ok,,,verpakking ; nieuwe foto; ok,nummer,2002-0033_1-4$2;2002-0033_1-4$3;2002-0033_1-4$4,"Mendini, Alessandro*Alessi",ok,Alessandro Mendini,ok 2025-03-10,nvt,,
Ianthe,Italiaans postmodernisme,2002-0033_2-4,niet-publiek,ok,,,verpakking ; nieuwe foto; ok,nummer,2002-0033_2-4$3;2002-0033_2-4$4,"Mendini, Alessandro*Alessi",ok,Alessandro Mendini,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,2002-0033_3-4,niet-publiek,ok,,,geen goeie foto; ok,nummer,2002-0033_3-4$1;2002-0033_3-4$2;2002-0033_3-4$3,"Mendini, Alessandro*Alessi",ok,Alessandro Mendini,ok 2025-03-10,nvt,,
Ianthe,Italiaans postmodernisme,2002-0033_4-4,niet-publiek,ok,,,verpakking ; nieuwe foto; ok,nummer,2002-0033_4-4$3;2002-0033_4-4$4;2002-0033_4-4$5,"Mendini, Alessandro*Alessi",ok,Alessandro Mendini,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,2002-0034_0-2,publiek,ok,,,,ok,2002-0034_0-2$2,"Mendini, Alessandro*Alessi",ok,Alessandro Mendini,ok 2022-04-08,ok 2022-04-08,,
Ianthe,Italiaans postmodernisme,2002-0034_1-2,niet-publiek,ok,,,,ok,2002-0034_1-2$1,"Mendini, Alessandro*Alessi",ok,Alessandro Mendini,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,2002-0034_2-2,niet-publiek,ok,,,,ok,2002-0034_2-2$2,"Mendini, Alessandro*Alessi",ok,Alessandro Mendini,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,2002-0035,publiek,ok,,,,ok,2002-0035$1,"Mendini, Alessandro*Alessi",ok,Alessandro Mendini,ok 2022-04-08,ok 2022-04-08,,
Ianthe,Italiaans postmodernisme,2002-0036,publiek,ok,,,,ok,2002-0036$2,"Mendini, Alessandro*Alessi",ok,Alessandro Mendini,ok 2022-04-08,ok 2022-04-08,,
Ianthe,Italiaans postmodernisme,2002-0037,publiek,ok,,,,ok,2002-0037$1,"Mendini, Alessandro*Alessi",ok,Alessandro Mendini,ok 2022-04-08,ok 2022-04-08,,
Ianthe,Italiaans postmodernisme,2002-0038,publiek,ok,,,,ok,2002-0038$1,"Mendini, Alessandro*Alessi",ok,Alessandro Mendini,ok 2022-04-08,ok 2022-04-08,,
Ianthe,Italiaans postmodernisme,2002-0039,publiek,ok,,,,ok,2002-0039$1,"Mendini, Alessandro*Alessi",ok,Alessandro Mendini,ok 2022-04-08,ok 2022-04-08,,
Ianthe,Italiaans postmodernisme,2002-0040,publiek,ok,,,,ok,2002-0040$1,"Mendini, Alessandro*Alessi",ok,Alessandro Mendini,ok 2022-04-08,ok 2022-04-08,,
Ianthe,Italiaans postmodernisme,2002-0041,publiek,ok,,,,ok,2002-0041$1,"Mendini, Alessandro*Alessi",ok,Alessandro Mendini,ok 2022-04-08,ok 2022-04-08,,
Ianthe,Italiaans postmodernisme,2002-0054,publiek,ok,,,,ok,2002-0054$1,"Mendini, Alessandro*Alessi",ok,Alessandro Mendini,ok 2022-04-08,ok 2022-04-08,,
Ianthe,Italiaans postmodernisme,2002-0115_00-11,publiek,ok,,,,ok,2002-0115_00-11$1,"Mendini, Alessandro*Margarini, Annalisa*Alessi",ok,Alessandro Mendini; Annalisa Margarini,ok 2022-04-08,ok 2022-04-08,,
Ianthe,Italiaans postmodernisme,2002-0115_01-11,niet-publiek,ok,,,,ok,2002-0115_01-11,"Mendini, Alessandro*Margarini, Annalisa*Alessi",ok,Alessandro Mendini; Annalisa Margarini,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,2002-0115_02-11,niet-publiek,ok,,,,ok,2002-0115_02-11,"Mendini, Alessandro*Margarini, Annalisa*Alessi",ok,Alessandro Mendini; Annalisa Margarini,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,2002-0115_03-11,niet-publiek,ok,,,,ok,2002-0115_03-11,"Mendini, Alessandro*Margarini, Annalisa*Alessi",ok,Alessandro Mendini; Annalisa Margarini,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,2002-0115_04-11,niet-publiek,ok,,,,ok,2002-0115_04-11,"Mendini, Alessandro*Margarini, Annalisa*Alessi",ok,Alessandro Mendini; Annalisa Margarini,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,2002-0115_05-11,niet-publiek,ok,,,,ok,2002-0115_05-11,"Mendini, Alessandro*Margarini, Annalisa*Alessi",ok,Alessandro Mendini; Annalisa Margarini,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,2002-0115_06-11,niet-publiek,ok,,,,ok,2002-0115_06-11,"Mendini, Alessandro*Margarini, Annalisa*Alessi",ok,Alessandro Mendini; Annalisa Margarini,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,2002-0115_07-11,niet-publiek,ok,,,,ok,2002-0115_07-11,"Mendini, Alessandro*Margarini, Annalisa*Alessi",ok,Alessandro Mendini; Annalisa Margarini,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,2002-0115_08-11,niet-publiek,ok,,,,ok,2002-0115_08-11,"Mendini, Alessandro*Margarini, Annalisa*Alessi",ok,Alessandro Mendini; Annalisa Margarini,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,2002-0115_09-11,niet-publiek,ok,,,,ok,2002-0115_09-11,"Mendini, Alessandro*Margarini, Annalisa*Alessi",ok,Alessandro Mendini; Annalisa Margarini,ok 2023-07-07,nvt,,
