,object_number,rights,attribution
743,0729_0-2,Copyright Status Not Evaluated,
744,0729_1-2,Copyright Status Not Evaluated,
745,0729_2-2,Copyright Status Not Evaluated,
746,0730,CC0 1.0,
747,0731,Copyright Status Not Evaluated,
748,0732,Copyright Status Not Evaluated,
749,0733,Copyright Status Not Evaluated,
750,0734,CC0 1.0,
751,0735,CC0 1.0,
752,0736,CC0 1.0,
753,0737,CC0 1.0,
754,0738,CC0 1.0,
755,0739,CC0 1.0,
756,0740,CC0 1.0,
757,0741_0-4,Copyright Status Not Evaluated,
758,0741_1-4,Copyright Status Not Evaluated,
759,0741_2-4,Copyright Status Not Evaluated,
760,0741_3-4,Copyright Status Not Evaluated,
761,0741_4-4,Copyright Status Not Evaluated,
762,0743,Copyright Status Not Evaluated,
763,0744,Copyright Status Not Evaluated,
764,0745,CC0 1.0,
765,0746,Copyright Status Not Evaluated,
766,0747,Copyright Status Not Evaluated,
767,0748_0-3,Copyright Status Not Evaluated,
768,0748_1-3,Copyright Status Not Evaluated,
769,0748_2-3,Copyright Status Not Evaluated,
770,0748_3-3,Copyright Status Not Evaluated,
771,0749,CC0 1.0,
772,0750,Copyright Status Not Evaluated,
773,0751,CC0 1.0,
774,0752,Copyright Status Not Evaluated,
775,0753,CC0 1.0,
776,0754,Copyright Status Not Evaluated,
777,0755,Copyright Status Not Evaluated,
778,0756,CC0 1.0,
779,0757,CC0 1.0,
780,0758,Copyright Status Not Evaluated,
781,0759,Copyright Status Not Evaluated,
782,0760,CC0 1.0,
783,0761_0-2,Copyright Status Not Evaluated,
784,0761_1-2,Copyright Status Not Evaluated,
785,0761_2-2,Copyright Status Not Evaluated,
786,0762_0-2,CC0 1.0,
787,0762_1-2,CC0 1.0,
788,0762_2-2,CC0 1.0,
789,0763_0-2,Copyright Status Not Evaluated,
790,0763_1-2,Copyright Status Not Evaluated,
791,0763_2-2,Copyright Status Not Evaluated,
792,0764,Copyright Status Not Evaluated,
793,0767,CC0 1.0,
794,0768,CC0 1.0,
795,0769,CC0 1.0,
796,0770,CC0 1.0,
797,0771,Copyright Status Not Evaluated,
798,0773,CC0 1.0,
799,0776,CC0 1.0,
800,0777,CC0 1.0,
801,0778,CC0 1.0,
802,0779,CC0 1.0,
803,0780,CC0 1.0,
804,0781,CC0 1.0,
805,0782,Copyright Status Not Evaluated,
806,0783,Copyright Status Not Evaluated,
807,0784,Copyright Status Not Evaluated,
808,0785_0-2,CC0 1.0,
809,0785_1-2,CC0 1.0,
810,0785_2-2,CC0 1.0,
811,0786,Copyright Status Not Evaluated,
812,0787,Copyright Status Not Evaluated,
813,0789_0-2,Copyright Status Not Evaluated,
814,0789_1-2,Copyright Status Not Evaluated,
815,0789_2-2,Copyright Status Not Evaluated,
816,0790,CC0 1.0,
817,0791,CC0 1.0,
818,0792,Copyright Status Not Evaluated,
819,0793,Copyright Status Not Evaluated,
820,0794,CC0 1.0,
821,0795,CC0 1.0,
822,0796,CC0 1.0,
823,0797,CC0 1.0,
824,0798,CC0 1.0,
